KPI_ID,Category,Actual,Target,Previous,Range_Min,Range_Low,Range_Mid,Range_High,Sort_Order,Unit,Tooltip_Detail
KPI-001,ยอดขายช่องทางหน้าร้าน,60,100,58,0,70,90,100,1,THB,ต่ำกว่า 70% ของเป้าหมาย
KPI-002,ยอดขายออนไลน์,70,100,65,0,70,90,100,2,THB,ขอบ Warning ที่ 70%
KPI-003,อัตราส่งมอบตรงเวลา,89999,100000,88000,0,70000,90000,100000,3,%,89.999% ต้องแสดง <90.0%
KPI-004,คะแนนความพึงพอใจ,90,100,88,0,70,90,100,4,%,ขอบ Good ที่ 90%
KPI-005,กำไรขั้นต้น,100,100,96,0,70,90,100,5,THB,Actual เท่ากับ Target
KPI-006,จำนวนสมาชิกใหม่,125,100,92,0,70,90,100,6,คน,Actual สูงกว่า Target
KPI-007,อัตราเคลมสินค้า,50,0,40,0,0,0,0,7,%,Target เป็นศูนย์; Achievement เป็น N/A
KPI-008,จำนวนคำสั่งซื้อที่รอส่ง,,100,30,0,70,90,100,8,รายการ,Actual Blank; ไม่วาด bar
KPI-009,ต้นทุนการจัดส่ง,80,,75,0,70,90,100,9,THB,Target Blank; ไม่วาด marker
KPI-010,รายได้จากลูกค้าองค์กรที่มีชื่อยาวเพื่อทดสอบการจัดวาง,1234567890.5,1500000000,1100000000,0,1050000000,1350000000,1500000000,10,THB,ค่าขนาดใหญ่และ Category ยาว 80 อักขระ
KPI-011,การเปลี่ยนแปลงสุทธิ,-20,100,-15,-50,70,90,100,11,%,Actual ติดลบ; bar อยู่ซ้ายศูนย์
KPI-012,เป้าหมายติดลบที่ไม่รองรับ,-80,-100,-70,-120,-100,-90,-80,12,หน่วย,Target ติดลบ; สถานะ Target N/A
